"","Relative_Compactness","Surface_Area","Wall_Area","Roof_Area","Overall_Height","Orientation","Glazing_Area","Cooling_Load"
"1",0.98,514.5,294,110.25,7,2,0,21.33
"2",0.98,514.5,294,110.25,7,3,0,21.33
"3",0.98,514.5,294,110.25,7,4,0,21.33
"4",0.98,514.5,294,110.25,7,5,0,21.33
"5",0.9,563.5,318.5,122.5,7,2,0,28.28
"6",0.9,563.5,318.5,122.5,7,3,0,25.38
"7",0.9,563.5,318.5,122.5,7,4,0,25.16
"8",0.9,563.5,318.5,122.5,7,5,0,29.6
"9",0.86,588,294,147,7,2,0,27.3
"10",0.86,588,294,147,7,3,0,21.97
"11",0.86,588,294,147,7,4,0,23.49
"12",0.86,588,294,147,7,5,0,27.87
"13",0.82,612.5,318.5,147,7,2,0,23.77
"14",0.82,612.5,318.5,147,7,3,0,21.46
"15",0.82,612.5,318.5,147,7,4,0,21.16
"16",0.82,612.5,318.5,147,7,5,0,24.93
"17",0.79,637,343,147,7,2,0,37.73
"18",0.79,637,343,147,7,3,0,31.27
"19",0.79,637,343,147,7,4,0,30.93
"20",0.79,637,343,147,7,5,0,39.44
"21",0.76,661.5,416.5,122.5,7,2,0,29.79
"22",0.76,661.5,416.5,122.5,7,3,0,29.68
"23",0.76,661.5,416.5,122.5,7,4,0,29.79
"24",0.76,661.5,416.5,122.5,7,5,0,29.4
"25",0.74,686,245,220.5,3.5,2,0,10.9
"26",0.74,686,245,220.5,3.5,3,0,11.19
"27",0.74,686,245,220.5,3.5,4,0,10.94
"28",0.74,686,245,220.5,3.5,5,0,11.17
"29",0.71,710.5,269.5,220.5,3.5,2,0,11.27
"30",0.71,710.5,269.5,220.5,3.5,3,0,11.72
"31",0.71,710.5,269.5,220.5,3.5,4,0,11.29
"32",0.71,710.5,269.5,220.5,3.5,5,0,11.67
"33",0.69,735,294,220.5,3.5,2,0,11.74
"34",0.69,735,294,220.5,3.5,3,0,12.05
"35",0.69,735,294,220.5,3.5,4,0,11.73
"36",0.69,735,294,220.5,3.5,5,0,11.93
"37",0.66,759.5,318.5,220.5,3.5,2,0,12.4
"38",0.66,759.5,318.5,220.5,3.5,3,0,12.23
"39",0.66,759.5,318.5,220.5,3.5,4,0,12.4
"40",0.66,759.5,318.5,220.5,3.5,5,0,12.14
"41",0.64,784,343,220.5,3.5,2,0,16.78
"42",0.64,784,343,220.5,3.5,3,0,16.8
"43",0.64,784,343,220.5,3.5,4,0,16.75
"44",0.64,784,343,220.5,3.5,5,0,16.67
"45",0.62,808.5,367.5,220.5,3.5,2,0,12.07
"46",0.62,808.5,367.5,220.5,3.5,3,0,12.22
"47",0.62,808.5,367.5,220.5,3.5,4,0,12.08
"48",0.62,808.5,367.5,220.5,3.5,5,0,12.04
"49",0.98,514.5,294,110.25,7,2,0.1,26.47
"50",0.98,514.5,294,110.25,7,3,0.1,26.37
"51",0.98,514.5,294,110.25,7,4,0.1,26.44
"52",0.98,514.5,294,110.25,7,5,0.1,26.29
"53",0.9,563.5,318.5,122.5,7,2,0.1,32.92
"54",0.9,563.5,318.5,122.5,7,3,0.1,29.87
"55",0.9,563.5,318.5,122.5,7,4,0.1,29.58
"56",0.9,563.5,318.5,122.5,7,5,0.1,34.33
"57",0.86,588,294,147,7,2,0.1,30.89
"58",0.86,588,294,147,7,3,0.1,25.6
"59",0.86,588,294,147,7,4,0.1,27.03
"60",0.86,588,294,147,7,5,0.1,31.73
"61",0.82,612.5,318.5,147,7,2,0.1,27.31
"62",0.82,612.5,318.5,147,7,3,0.1,24.91
"63",0.82,612.5,318.5,147,7,4,0.1,24.61
"64",0.82,612.5,318.5,147,7,5,0.1,28.51
"65",0.79,637,343,147,7,2,0.1,41.68
"66",0.79,637,343,147,7,3,0.1,35.28
"67",0.79,637,343,147,7,4,0.1,34.43
"68",0.79,637,343,147,7,5,0.1,43.33
"69",0.76,661.5,416.5,122.5,7,2,0.1,33.87
"70",0.76,661.5,416.5,122.5,7,3,0.1,34.07
"71",0.76,661.5,416.5,122.5,7,4,0.1,34.14
"72",0.76,661.5,416.5,122.5,7,5,0.1,33.67
"73",0.74,686,245,220.5,3.5,2,0.1,13.43
"74",0.74,686,245,220.5,3.5,3,0.1,13.71
"75",0.74,686,245,220.5,3.5,4,0.1,13.48
"76",0.74,686,245,220.5,3.5,5,0.1,13.7
"77",0.71,710.5,269.5,220.5,3.5,2,0.1,13.8
"78",0.71,710.5,269.5,220.5,3.5,3,0.1,14.28
"79",0.71,710.5,269.5,220.5,3.5,4,0.1,13.87
"80",0.71,710.5,269.5,220.5,3.5,5,0.1,14.27
"81",0.69,735,294,220.5,3.5,2,0.1,14.28
"82",0.69,735,294,220.5,3.5,3,0.1,14.61
"83",0.69,735,294,220.5,3.5,4,0.1,14.3
"84",0.69,735,294,220.5,3.5,5,0.1,14.45
"85",0.66,759.5,318.5,220.5,3.5,2,0.1,13.9
"86",0.66,759.5,318.5,220.5,3.5,3,0.1,13.72
"87",0.66,759.5,318.5,220.5,3.5,4,0.1,13.88
"88",0.66,759.5,318.5,220.5,3.5,5,0.1,13.65
"89",0.64,784,343,220.5,3.5,2,0.1,19.37
"90",0.64,784,343,220.5,3.5,3,0.1,19.43
"91",0.64,784,343,220.5,3.5,4,0.1,19.34
"92",0.64,784,343,220.5,3.5,5,0.1,19.32
"93",0.62,808.5,367.5,220.5,3.5,2,0.1,14.34
"94",0.62,808.5,367.5,220.5,3.5,3,0.1,14.5
"95",0.62,808.5,367.5,220.5,3.5,4,0.1,14.33
"96",0.62,808.5,367.5,220.5,3.5,5,0.1,14.27
"97",0.98,514.5,294,110.25,7,2,0.1,25.95
"98",0.98,514.5,294,110.25,7,3,0.1,25.63
"99",0.98,514.5,294,110.25,7,4,0.1,26.13
"100",0.98,514.5,294,110.25,7,5,0.1,25.89
"101",0.9,563.5,318.5,122.5,7,2,0.1,32.54
"102",0.9,563.5,318.5,122.5,7,3,0.1,29.44
"103",0.9,563.5,318.5,122.5,7,4,0.1,29.36
"104",0.9,563.5,318.5,122.5,7,5,0.1,34.2
"105",0.86,588,294,147,7,2,0.1,30.91
"106",0.86,588,294,147,7,3,0.1,25.63
"107",0.86,588,294,147,7,4,0.1,27.36
"108",0.86,588,294,147,7,5,0.1,31.9
"109",0.82,612.5,318.5,147,7,2,0.1,27.38
"110",0.82,612.5,318.5,147,7,3,0.1,25.02
"111",0.82,612.5,318.5,147,7,4,0.1,24.8
"112",0.82,612.5,318.5,147,7,5,0.1,28.79
"113",0.79,637,343,147,7,2,0.1,41.07
"114",0.79,637,343,147,7,3,0.1,34.62
"115",0.79,637,343,147,7,4,0.1,33.87
"116",0.79,637,343,147,7,5,0.1,42.86
"117",0.76,661.5,416.5,122.5,7,2,0.1,33.91
"118",0.76,661.5,416.5,122.5,7,3,0.1,34.07
"119",0.76,661.5,416.5,122.5,7,4,0.1,34.17
"120",0.76,661.5,416.5,122.5,7,5,0.1,33.78
"121",0.74,686,245,220.5,3.5,2,0.1,13.39
"122",0.74,686,245,220.5,3.5,3,0.1,13.72
"123",0.74,686,245,220.5,3.5,4,0.1,13.57
"124",0.74,686,245,220.5,3.5,5,0.1,13.79
"125",0.71,710.5,269.5,220.5,3.5,2,0.1,13.67
"126",0.71,710.5,269.5,220.5,3.5,3,0.1,14.11
"127",0.71,710.5,269.5,220.5,3.5,4,0.1,13.8
"128",0.71,710.5,269.5,220.5,3.5,5,0.1,14.21
"129",0.69,735,294,220.5,3.5,2,0.1,13.2
"130",0.69,735,294,220.5,3.5,3,0.1,13.54
"131",0.69,735,294,220.5,3.5,4,0.1,13.32
"132",0.69,735,294,220.5,3.5,5,0.1,13.51
"133",0.66,759.5,318.5,220.5,3.5,2,0.1,14.86
"134",0.66,759.5,318.5,220.5,3.5,3,0.1,14.75
"135",0.66,759.5,318.5,220.5,3.5,4,0.1,15
"136",0.66,759.5,318.5,220.5,3.5,5,0.1,14.74
"137",0.64,784,343,220.5,3.5,2,0.1,19.23
"138",0.64,784,343,220.5,3.5,3,0.1,19.34
"139",0.64,784,343,220.5,3.5,4,0.1,19.32
"140",0.64,784,343,220.5,3.5,5,0.1,19.3
"141",0.62,808.5,367.5,220.5,3.5,2,0.1,14.37
"142",0.62,808.5,367.5,220.5,3.5,3,0.1,14.57
"143",0.62,808.5,367.5,220.5,3.5,4,0.1,14.27
"144",0.62,808.5,367.5,220.5,3.5,5,0.1,14.24
"145",0.98,514.5,294,110.25,7,2,0.1,25.68
"146",0.98,514.5,294,110.25,7,3,0.1,26.02
"147",0.98,514.5,294,110.25,7,4,0.1,25.84
"148",0.98,514.5,294,110.25,7,5,0.1,26.14
"149",0.9,563.5,318.5,122.5,7,2,0.1,34.14
"150",0.9,563.5,318.5,122.5,7,3,0.1,32.85
"151",0.9,563.5,318.5,122.5,7,4,0.1,30.08
"152",0.9,563.5,318.5,122.5,7,5,0.1,29.67
"153",0.86,588,294,147,7,2,0.1,31.73
"154",0.86,588,294,147,7,3,0.1,31.01
"155",0.86,588,294,147,7,4,0.1,25.9
"156",0.86,588,294,147,7,5,0.1,27.4
