,Cash,Balances with ADIs,Other assets,Government securities,ADI securities,Corporate paper,Other securities,Residential loans,Personal loans,Commercial loans,Total assets,Borrowings from ADIs,Deposits,Other liabilities
Jun-84,26,337,69,80,37,0,78,439,2675,25,3978,56,3656,10
Jul-84,28,392,74,79,41,0,74,468,2715,26,4104,48,3783,6
Aug-84,26,423,87,72,47,0,82,488,2756,30,4227,43,3902,4
Sep-84,26,445,117,77,44,0,79,499,2809,30,4347,47,4008,3
Oct-84,32,471,123,83,35,0,94,524,2856,30,4483,42,4140,4
Nov-84,28,481,130,85,26,0,98,607,2866,33,4581,54,4211,4
Dec-84,32,479,107,89,23,0,102,633,2898,32,4622,47,4253,3
Jan-85,28,453,92,89,26,0,99,664,2943,33,4657,46,4287,2
Feb-85,28,433,84,87,25,0,106,683,3008,32,4721,51,4318,5
Mar-85,26,415,68,86,20,0,102,704,3088,32,4783,61,4361,6
Apr-85,28,377,65,83,23,0,100,725,3165,33,4853,71,4404,6
May-85,28,385,68,83,19,0,94,734,3238,34,4940,69,4515,2
Jun-85,30,390,75,83,24,0,97,743,3338,37,5079,74,4652,2
Jul-85,33,457,75,77,27,0,97,762,3392,46,5232,56,4809,2
Aug-85,28,493,70,88,20,0,107,786,3428,49,5354,57,4916,2
Sep-85,32,483,70,91,15,0,111,806,3492,54,5433,55,4980,2
Oct-85,34,494,64,90,16,0,120,828,3552,57,5545,53,5094,2
Nov-85,31,459,53,83,13,0,120,848,3636,62,5597,73,5101,2
Dec-85,41,418,66,81,14,0,110,875,3687,77,5667,86,5134,2
Jan-86,34,395,56,83,13,0,97,895,3725,83,5677,92,5117,2
Feb-86,36,414,41,76,12,0,97,908,3772,95,5745,96,5183,4
Mar-86,39,459,51,73,10,0,99,929,3810,100,5870,88,5324,4
Apr-86,45,487,64,71,12,0,116,945,3843,107,6016,81,5464,2
May-86,41,522,82,72,16,0,128,971,3881,117,6136,68,5604,2
Jun-86,41,554,90,77,23,0,128,980,3939,122,6250,75,5723,2
Jul-86,39,620,102,80,25,0,152,999,3961,135,6410,61,5904,2
Aug-86,38,619,91,80,22,0,174,1019,3986,145,6478,69,5932,3
Sep-86,44,582,77,78,8,0,177,1027,4012,161,6488,80,5908,2
Oct-86,37,588,67,75,18,0,175,1031,4044,174,6528,64,5954,2
Nov-86,41,578,69,68,14,0,164,964,4091,266,6581,73,5995,2
Dec-86,47,601,63,69,11,0,168,970,4121,276,6659,64,6098,3
Jan-87,43,576,74,70,12,0,194,984,4147,289,6722,75,6127,3
Feb-87,40,566,62,69,13,0,192,992,4185,303,6758,79,6133,3
Mar-87,45,522,58,66,15,0,171,1007,4230,320,6777,93,6133,3
Apr-87,48,559,48,66,14,0,152,1017,4243,327,6815,93,6178,3
May-87,45,584,80,69,14,0,168,1030,4278,336,6951,69,6353,3
Jun-87,46,600,93,73,14,0,173,1039,4302,353,7045,72,6451,3
Jul-87,51,643,104,78,19,0,223,1054,4299,373,7198,51,6624,3
Aug-87,48,669,77,80,20,0,243,1038,4338,374,7236,95,6596,3
Sep-87,50,700,92,82,21,0,242,1039,4331,374,7300,127,6619,3
Oct-87,44,729,87,83,21,0,265,1049,4333,371,7325,185,6579,3
Nov-87,48,700,90,79,25,0,245,1052,4350,376,7310,214,6521,3
Dec-87,60,683,88,80,24,0,233,1059,4350,369,7299,210,6524,3
Jan-88,55,698,84,80,22,0,257,1062,4356,363,7336,237,6520,3
Feb-88,52,702,90,82,18,0,273,949,4318,355,7225,361,6248,3
Mar-88,60,773,88,82,23,0,295,955,4320,343,7309,46,6358,304
Apr-88,49,770,81,82,22,0,287,961,4328,335,7190,44,6308,270
May-88,49,752,70,80,22,0,293,984,4335,329,7192,53,6328,260
Jun-88,52,723,68,88,17,0,301,999,4348,326,7204,71,6333,249
Jul-88,47,702,66,81,17,0,320,1024,4344,318,7197,55,6335,240
Aug-88,60,705,64,80,18,0,307,1030,4342,317,7239,54,6376,232
Sep-88,53,719,64,78,17,0,297,1056,4379,316,7188,65,6388,203
Oct-88,66,705,64,70,14,0,298,1083,4405,302,7227,71,6395,200
Nov-88,75,646,57,65,17,0,277,1106,4448,304,7234,81,6391,200
Dec-88,58,644,61,67,15,0,231,1127,4496,73,7141,90,6371,8
Jan-89,53,593,53,65,18,0,222,1151,4540,81,7138,117,6327,5
Feb-89,57,563,46,62,18,0,228,1182,4587,80,7174,145,6316,5
Mar-89,58,595,53,61,14,0,218,1211,4624,81,7268,122,6426,5
Apr-89,58,590,40,58,13,0,196,1243,4680,83,7311,124,6433,5
May-89,58,555,34,58,14,0,191,1281,4730,90,7381,126,6526,5
Jun-89,59,542,32,61,13,0,179,1313,4796,90,7446,141,6570,5
Jul-89,60,549,32,58,18,0,187,1353,4799,92,7522,126,6640,5
Aug-89,56,640,40,58,18,0,184,1369,4819,93,7651,101,6788,4
Sep-89,54,631,40,37,21,0,204,1385,4871,94,7704,107,6828,3
Oct-89,57,614,40,36,22,0,208,1405,4923,89,7778,105,6888,3
Nov-89,59,632,29,40,25,0,197,1424,4973,101,7857,102,6944,3
Dec-89,64,634,33,29,20,0,196,1436,5018,103,7906,103,6993,2
Jan-90,84,631,36,28,22,0,205,1446,5050,101,7994,87,7084,2
Feb-90,83,687,40,26,27,0,219,1458,5102,102,8128,77,7218,3
Mar-90,75,766,44,25,29,0,254,1470,5155,103,8289,71,7382,2
Apr-90,77,758,49,24,34,0,263,1474,5203,105,8362,76,7416,3
May-90,72,772,51,24,36,0,262,1486,5247,103,8431,63,7526,4
Jun-90,70,774,45,25,42,0,263,1501,5299,104,8496,122,7540,2
Jul-90,73,707,44,23,51,0,226,1496,5319,103,8418,143,7423,7
Aug-90,71,767,43,22,64,0,224,1496,5299,103,8454,118,7470,7
Sep-90,71,811,43,22,61,0,227,1493,5329,84,8522,117,7527,5
Oct-90,83,843,39,24,62,0,232,1499,5328,83,8594,102,7611,7
Nov-90,77,867,38,21,58,0,248,1515,5342,84,8649,95,7655,7
Dec-90,84,866,36,20,61,0,256,1543,5321,77,8677,97,7664,7
Jan-91,75,912,40,23,64,0,269,1536,5299,78,8706,95,7702,7
Feb-91,79,933,40,20,87,0,261,1543,5308,79,8747,82,7731,7
Mar-91,80,949,37,19,96,0,251,1546,5324,78,8779,77,7774,5
Apr-91,79,854,33,17,100,0,262,1556,5347,78,8720,81,7689,5
May-91,80,902,31,17,98,0,261,1569,5354,78,8785,74,7778,2
Jun-91,76,921,33,24,95,0,270,1583,5360,79,8826,87,7831,2
Jul-91,99,1009,36,21,110,0,304,1588,5361,80,9039,60,8047,1
Aug-91,81,1137,42,20,108,0,320,1627,5327,83,9137,49,8144,1
Sep-91,81,1182,42,24,122,0,326,1709,5285,82,9231,64,8234,1
Oct-91,88,1258,48,24,129,0,340,1730,5299,80,9383,49,8380,1
Nov-91,81,1235,46,24,134,0,346,1762,5333,80,9429,50,8422,2
Dec-91,108,1265,47,26,118,0,331,1796,5331,80,9500,48,8496,1
Jan-92,93,1296,69,26,95,0,328,1838,5329,81,9538,49,8504,2
Feb-92,81,1246,76,27,96,0,328,1877,5365,80,9564,53,8506,1
Mar-92,83,1198,77,27,87,0,320,1923,5395,83,9590,72,8526,2
Apr-92,90,1196,77,22,69,0,315,1965,5409,84,9615,63,8536,2
May-92,81,1140,75,24,58,0,331,2004,5436,82,9636,55,8564,3
Jun-92,86,1124,69,27,56,0,320,2063,5476,83,9685,94,8582,3
Jul-92,102,1402,31,27,73,0,330,2110,5426,81,9962,49,8898,3
Aug-92,91,1520,25,28,60,0,356,2147,5424,83,10109,44,9021,3
Sep-92,97,1584,23,26,55,0,375,2188,5418,82,10257,32,9176,3
Oct-92,102,1622,22,25,55,0,385,2264,5402,83,10361,42,9246,3
