f1,f2,f3,t1,t2,t3,class
-1,-1,63,-3,-1,0,0
-1,-1,63,-2,-1,0,0
-1,0,57,-5,-3,0,0
0,-1,59,-2,-1,-1,0
0,-2,65,-4,-2,0,0
-1,2,57,-10,-3,0,0
-3,1,53,-10,-4,0,0
2,0,69,-10,2,1,0
-1,1,58,-11,-4,-1,0
-1,-1,63,-3,-1,0,0
-1,-1,63,-3,0,0,0
1,-3,62,-1,2,0,0
0,-1,69,-4,2,-1,0
1,-2,57,-4,0,-1,0
-1,1,67,-9,-4,-1,0
0,2,67,-11,-3,0,0
-1,1,58,-8,-4,1,0
1,0,60,-8,1,1,0
24,53,79,-200,109,2,1
185,105,118,-180,374,12,1
-21,-50,46,-180,266,98,1
112,-54,85,-77,284,-3,1
95,-4,38,125,111,-4,1
-127,83,69,-71,-148,-53,1
-72,-24,84,120,-196,-15,1
-133,-34,18,21,131,-41,1
-10,-2,27,-17,8,3,1
5,23,157,-186,179,2,1
-14,-10,52,15,-77,0,1
8,-17,50,16,-1,-2,1
3,-33,32,41,2,-1,1
2,-3,70,-3,-1,0,1
4,-14,59,82,-85,13,1
71,51,5,686,494,-137,1
-93,76,80,-123,-151,-1,1
-8,20,-5,-26,-10,-1,2
11,-3,-301,-267,-88,-16,2
5,-4,-345,-185,0,0,2
-6,15,-414,-53,16,-5,2
-31,0,-398,-259,4,25,2
0,2,50,-13,-4,-1,0
-20,55,-918,-90,-77,-6,2
0,2,61,-12,-2,5,0
-35,17,-1029,-232,27,1,2
1,0,57,8,5,7,2
-6,27,-288,140,23,-2,2
-13,-12,-558,-450,-108,21,2
3,-10,-7,-44,1,5,2
-1,-86,-628,-338,-98,16,2
-37,26,-779,-150,5,3,2
-18,-9,46,-4,-11,-2,2
-21,1,-185,-202,3,11,2
-12,41,-133,-150,-53,-3,3
-17,99,-511,-319,-87,-10,2
4,8,41,-28,10,0,3
6,9,15,-28,17,1,3
14,13,-26,-36,32,2,3
30,22,-325,-46,66,4,2
0,1,70,-10,-2,-1,3
18,14,-113,74,140,12,2
-26,87,-454,51,150,18,2
-254,219,-1428,308,-20,-51,2
0,0,50,-11,-7,0,3
