ride_id,travel_date,travel_time,travel_from,car_type,max_capacity,Count
1442,2017-10-17,07:15,Migori,Bus,49,1
5437,2017-11-19,07:12,Migori,Bus,49,1
5710,2017-11-26,07:05,Keroka,Bus,49,1
5777,2017-11-27,07:10,Homa Bay,Bus,49,5
5778,2017-11-27,07:12,Migori,Bus,49,31
5781,2017-11-27,07:09,Homa Bay,Bus,49,26
5784,2018-04-20,05:10,Kisii,shuttle,11,1
5789,2018-04-20,09:50,Kisii,shuttle,11,1
5790,2018-04-20,07:06,Kisii,Bus,49,2
5791,2018-04-20,06:00,Kisii,shuttle,11,1
5792,2018-04-20,05:50,Kisii,shuttle,11,1
5793,2018-04-20,10:58,Kisii,shuttle,11,1
5794,2018-04-20,06:50,Kisii,shuttle,11,2
5795,2018-04-20,05:30,Kisii,shuttle,11,1
5796,2018-04-20,06:40,Kisii,shuttle,11,2
5797,2017-11-27,07:06,Keroka,Bus,49,3
5798,2018-04-20,09:10,Kisii,shuttle,11,1
5800,2018-04-19,05:00,Kisii,shuttle,11,2
5801,2018-04-19,05:20,Kisii,shuttle,11,11
5802,2017-11-27,10:52,Keroka,shuttle,11,3
5803,2018-04-19,05:10,Kisii,shuttle,11,11
5804,2017-11-27,10:50,Keroka,shuttle,11,1
5808,2018-04-19,07:06,Kisii,Bus,49,2
5809,2018-04-19,10:51,Kisii,shuttle,11,1
5810,2018-04-19,07:15,Kisii,shuttle,11,1
5811,2018-04-19,08:20,Kisii,shuttle,11,1
5812,2018-04-19,05:30,Kisii,shuttle,11,1
5816,2018-04-18,05:10,Kisii,shuttle,11,1
5817,2018-04-18,05:00,Kisii,shuttle,11,1
5822,2018-04-18,07:06,Kisii,Bus,49,1
5823,2018-04-18,06:40,Kisii,shuttle,11,2
5824,2018-04-18,08:20,Kisii,shuttle,11,1
5825,2018-04-18,19:03,Kisii,Bus,49,1
5826,2018-04-18,05:30,Kisii,shuttle,11,1
5830,2018-04-17,05:20,Kisii,shuttle,11,1
5834,2018-04-17,07:02,Kisii,Bus,49,1
5835,2018-04-17,06:40,Kisii,shuttle,11,2
5836,2018-04-17,06:50,Kisii,shuttle,11,1
5837,2018-04-17,07:06,Kisii,Bus,49,1
5838,2018-04-17,06:30,Kisii,shuttle,11,1
5839,2018-04-17,07:20,Kisii,shuttle,11,1
5840,2018-04-17,05:30,Kisii,shuttle,11,1
5844,2018-04-16,05:10,Kisii,shuttle,11,1
5845,2018-04-16,05:00,Kisii,shuttle,11,1
5849,2018-04-16,07:06,Kisii,Bus,49,1
5850,2018-04-16,07:04,Kisii,Bus,49,1
5851,2018-04-16,19:05,Kisii,Bus,49,1
5852,2018-04-16,07:15,Kisii,shuttle,11,1
5853,2018-04-16,05:30,Kisii,shuttle,11,1
5856,2018-04-15,05:20,Kisii,shuttle,11,11
5857,2018-04-15,05:00,Kisii,shuttle,11,4
5858,2018-04-15,05:10,Kisii,shuttle,11,11
5861,2018-04-15,19:04,Kisii,Bus,49,1
5862,2018-04-15,07:04,Kisii,Bus,49,1
5863,2018-04-15,06:40,Kisii,shuttle,11,1
5864,2018-04-15,05:30,Kisii,shuttle,11,1
5867,2018-04-14,05:10,Kisii,shuttle,11,9
5868,2018-04-14,05:20,Kisii,shuttle,11,6
5873,2018-04-14,06:59,Kisii,Bus,49,1
5874,2018-04-14,07:06,Kisii,Bus,49,5
5875,2017-11-27,07:08,Migori,Bus,49,3
5876,2018-04-14,05:40,Kisii,shuttle,11,1
5878,2018-04-14,05:30,Kisii,shuttle,11,2
5880,2018-04-13,05:20,Kisii,shuttle,11,11
5881,2018-04-13,05:00,Kisii,shuttle,11,1
5882,2018-04-13,05:10,Kisii,shuttle,11,4
5886,2018-04-13,09:00,Kisii,shuttle,11,1
5887,2018-04-13,07:06,Kisii,Bus,49,1
5888,2018-04-13,07:14,Kisii,Bus,49,1
5889,2018-04-13,07:07,Kisii,Bus,49,1
5890,2018-04-13,05:30,Kisii,shuttle,11,1
5894,2018-04-12,05:00,Kisii,shuttle,11,11
5897,2018-04-12,05:20,Kisii,shuttle,11,11
5898,2017-11-27,06:30,Keroka,shuttle,11,1
5901,2017-11-27,07:15,Migori,Bus,49,11
5902,2017-11-27,07:04,Homa Bay,Bus,49,5
5910,2018-04-12,05:10,Kisii,shuttle,11,11
5918,2018-04-12,07:08,Kisii,Bus,49,1
5919,2018-04-12,08:00,Kisii,Bus,49,1
5920,2018-04-12,07:06,Kisii,Bus,49,1
5921,2018-04-12,07:14,Kisii,Bus,49,1
5922,2018-04-12,09:50,Kisii,shuttle,11,1
